epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,12805.7,0.76709,1.15719,0.47846,1.11848,0.81863,0.609,0.78235,0.66566,0.81863,0.609,0.78152,0.54851,0.7869,1.51795,1.59337,1.16757,0.0017591,0.0017591,0.0017591
75,12946.6,0.79249,1.15451,0.48728,1.10693,0.80929,0.74095,0.84486,0.71944,0.80929,0.74095,0.84486,0.61964,0.71825,1.43809,1.21693,1.11637,0.0017558,0.0017558,0.0017558
76,13087.1,0.76578,1.16908,0.47391,1.09523,0.92279,0.73016,0.86439,0.73155,0.91276,0.72222,0.8515,0.60958,0.7077,1.49688,1.42611,1.11383,0.0017525,0.0017525,0.0017525
77,13228.1,0.70439,1.1027,0.44849,1.07505,0.88559,0.79868,0.89618,0.78158,0.88559,0.79868,0.89618,0.64594,0.66986,1.56011,0.99313,1.03565,0.0017492,0.0017492,0.0017492
78,13369,0.73698,1.0967,0.47662,1.10567,0.92741,0.79365,0.89878,0.77681,0.92741,0.79365,0.89878,0.65883,0.71941,1.41588,0.97803,1.07282,0.0017459,0.0017459,0.0017459
79,13509.5,0.70294,1.12133,0.44809,1.10225,0.9562,0.96825,0.98231,0.81658,0.94836,0.96032,0.97399,0.68542,0.75644,1.48932,0.50823,1.1306,0.0017426,0.0017426,0.0017426
80,13650.2,0.71583,1.14806,0.45539,1.0973,0.85933,0.99206,0.97803,0.83835,0.85933,0.99206,0.97803,0.72972,0.64317,1.29531,0.54674,1.03851,0.0017393,0.0017393,0.0017393
81,13791.4,0.74591,1.13697,0.46258,1.10655,0.98094,0.70635,0.85454,0.72025,0.98094,0.70635,0.85454,0.6128,0.826,1.50187,1.09737,1.16933,0.001736,0.001736,0.001736
82,13931.9,0.69161,1.1046,0.44379,1.09775,0.96757,0.76984,0.9196,0.8003,0.96757,0.76984,0.91967,0.68886,0.59607,1.33525,0.65999,1.02837,0.0017327,0.0017327,0.0017327
83,14072.6,0.70681,1.08769,0.45236,1.0833,1,0.84676,0.95149,0.80363,1,0.84676,0.95149,0.71665,0.6647,1.23333,0.71235,1.03617,0.0017294,0.0017294,0.0017294
84,14213.8,0.71161,1.10301,0.44506,1.09521,0.93617,0.9313,0.98325,0.85896,0.93617,0.9313,0.98325,0.73135,0.60397,1.38175,0.4603,1.01189,0.0017261,0.0017261,0.0017261
85,14354.3,0.69712,1.11264,0.44636,1.1013,0.96717,0.93528,0.98909,0.87028,0.96717,0.93528,0.98909,0.75227,0.56509,1.26861,0.4156,0.98562,0.0017228,0.0017228,0.0017228
86,14495.5,0.71701,1.11718,0.45451,1.08874,0.95031,0.91068,0.98114,0.84576,0.95031,0.91068,0.98114,0.73919,0.60953,1.18833,0.45781,1.02997,0.0017195,0.0017195,0.0017195
87,14636,0.68216,1.04318,0.45152,1.05659,0.97446,0.88095,0.97633,0.81857,0.97446,0.88095,0.98165,0.71098,0.67207,1.30382,0.45929,1.06985,0.0017162,0.0017162,0.0017162
88,14776.3,0.70319,1.13212,0.45247,1.08103,0.93484,0.96825,0.98749,0.86821,0.93484,0.96825,0.98749,0.75059,0.63936,1.278,0.48894,1.03682,0.0017129,0.0017129,0.0017129
89,14917.5,0.70703,1.08219,0.43326,1.08138,0.99073,0.84867,0.95685,0.8297,0.98147,0.84074,0.94703,0.69645,0.64184,1.4931,0.72413,1.0584,0.0017096,0.0017096,0.0017096
90,15057.9,0.6934,1.06983,0.4302,1.05612,0.82724,0.80952,0.86797,0.74724,0.82724,0.80952,0.86737,0.61933,0.67688,1.4147,1.04063,1.07483,0.0017063,0.0017063,0.0017063
91,15198.4,0.71337,1.14054,0.45416,1.1072,0.96537,0.96032,0.98672,0.82458,0.95964,0.9435,0.97578,0.68157,0.71684,1.48534,0.47816,1.11492,0.001703,0.001703,0.001703
92,15339.2,0.71561,1.11139,0.45197,1.09162,0.92678,0.8254,0.92463,0.79348,0.92678,0.8254,0.92463,0.67313,0.6376,1.38208,0.66599,1.0726,0.0016997,0.0016997,0.0016997
93,15479.9,0.72334,1.0606,0.4418,1.08304,0.80429,0.84127,0.85511,0.75065,0.80429,0.84127,0.85511,0.65939,0.62679,1.22634,1.28642,1.03649,0.0016964,0.0016964,0.0016964
94,15620.8,0.72637,1.08214,0.46093,1.0701,0.96098,0.88095,0.95868,0.80357,0.96098,0.88095,0.95935,0.67315,0.74566,1.63772,0.83653,1.14297,0.0016931,0.0016931,0.0016931
95,15761.8,0.71385,1.12507,0.42338,1.08854,0.95393,0.82161,0.90347,0.76735,0.95393,0.82161,0.90347,0.60881,0.72003,1.58652,1.0816,1.10046,0.0016898,0.0016898,0.0016898
96,15902.5,0.76014,1.12751,0.47349,1.09444,0.8628,0.76984,0.85622,0.74495,0.8628,0.76984,0.85512,0.63713,0.68001,1.45941,1.59078,1.12596,0.0016865,0.0016865,0.0016865
97,16043.3,0.7132,1.03987,0.4385,1.07293,0.89086,0.78571,0.91436,0.79945,0.89086,0.78571,0.91436,0.71046,0.62452,1.19997,0.81782,1.02547,0.0016832,0.0016832,0.0016832
98,16184.1,0.66532,1.05367,0.41435,1.05349,0.90755,0.89683,0.97375,0.84606,0.90755,0.89683,0.97375,0.74551,0.57595,1.12787,0.54097,1.00049,0.0016799,0.0016799,0.0016799
99,16325.2,0.71243,1.0972,0.44023,1.07131,0.94301,0.90476,0.96813,0.84904,0.94301,0.90476,0.96813,0.71073,0.56079,1.20106,0.71424,1.00654,0.0016766,0.0016766,0.0016766
100,16466.2,0.69551,1.0366,0.41789,1.08818,0.91488,0.85714,0.93663,0.80377,0.91488,0.85714,0.93663,0.72083,0.63348,1.19695,0.85686,1.0458,0.0016733,0.0016733,0.0016733
101,16607.2,0.64309,1.0184,0.4081,1.04827,0.98426,0.96032,0.99335,0.86401,0.98426,0.96032,0.99335,0.76634,0.58957,1.17308,0.39133,0.99303,0.00167,0.00167,0.00167
102,16747.8,0.67249,1.03521,0.41724,1.0886,0.99791,1,0.995,0.88997,0.99791,1,0.995,0.7656,0.52912,1.20021,0.34513,0.97076,0.0016667,0.0016667,0.0016667
103,16888.4,0.65182,1.06779,0.415,1.06774,0.99035,1,0.99413,0.87325,0.99035,1,0.99413,0.78799,0.54856,1.07373,0.36496,0.98729,0.0016634,0.0016634,0.0016634
104,17029.4,0.69047,1.02409,0.4288,1.05824,1,0.85462,0.95114,0.86199,1,0.85462,0.95114,0.7435,0.49834,1.14733,0.83398,0.98573,0.0016601,0.0016601,0.0016601
105,17169.7,0.68155,1.06975,0.42516,1.06524,0.99917,1,0.995,0.8861,0.99917,1,0.995,0.801,0.51867,1.0183,0.33789,0.957,0.0016568,0.0016568,0.0016568
106,17310.6,0.68334,1.06454,0.42211,1.06294,0.99789,1,0.995,0.86566,0.99789,1,0.995,0.77598,0.60293,1.1549,0.36798,0.99554,0.0016535,0.0016535,0.0016535
107,17451.8,0.64611,1.02831,0.40284,1.04189,0.95438,0.99613,0.9921,0.86037,0.95438,0.99613,0.9921,0.75338,0.62575,1.27764,0.39856,1.02744,0.0016502,0.0016502,0.0016502
108,17591.9,0.68706,1.03241,0.42204,1.06894,0.97241,0.86508,0.96252,0.84463,0.97241,0.86508,0.96252,0.74138,0.55214,1.24372,0.54618,1.00537,0.0016469,0.0016469,0.0016469
109,17732.9,0.65501,0.98746,0.40051,1.0593,0.93159,0.93651,0.97695,0.85101,0.93159,0.93651,0.97695,0.70915,0.67762,1.48185,0.55407,1.05922,0.0016436,0.0016436,0.0016436
110,17874.1,0.69857,1.02074,0.43357,1.06781,0.99093,0.99206,0.99452,0.86482,0.99093,0.99206,0.99452,0.77995,0.54154,1.0889,0.40051,0.97965,0.0016403,0.0016403,0.0016403
111,18014.4,0.67859,1.03069,0.41285,1.08062,0.99166,0.94397,0.97949,0.83089,0.99166,0.94397,0.97949,0.77098,0.66594,1.10473,0.55618,1.07044,0.001637,0.001637,0.001637
112,18155.6,0.68649,1.0067,0.42092,1.0802,0.98098,0.96032,0.98533,0.85972,0.97281,0.95238,0.9785,0.74288,0.65715,1.31187,0.52881,1.07441,0.0016337,0.0016337,0.0016337
113,18295.9,0.68019,1.0362,0.43442,1.05971,0.99068,0.84344,0.91574,0.8306,0.99068,0.84344,0.91574,0.73236,0.52312,1.04697,0.75106,0.97029,0.0016304,0.0016304,0.0016304
114,18436.3,0.69731,1.04914,0.42851,1.08153,0.99208,0.84921,0.93315,0.85052,0.99208,0.84921,0.93315,0.74411,0.47986,1.07156,0.71889,0.94499,0.0016271,0.0016271,0.0016271
